"id","school_id","name","county","address","eircode","school_type","contact_email","contact_name","created_at","last_updated_at"
"27","70100W","Coláiste Chilliain","Dublin","Bóthar Nangor, Cluain Dolcáin, Baile Atha Cliath 22","D22EW08","secondary","eolas@colaistechilliain.ie","Martha Ní Chathasaigh","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"28","60342R","Coláiste Eanna Ballyroan","Dublin","Hillside Park, Ballyroan Road, Rathfarnham, Dublin 16","D16E248","secondary","secretary@colaisteeanna.ie","Sean O Murchu","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"29","","Synge Street","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"30","60264A","Coláiste Phádraig lucan","Dublin","Roselawn, Lucan, Co. Dublin","K78E927","secondary","admin@colaistephadraig.com","Tom O' Meara","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"31","","The Faculty of Health Sciences at Trinity College Dublin has four Schools, Nursing & Midwifery, Pharmacy & Pharmaceutical Sciences, Medicine, and Dental.","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"32","19845M","North Dublin national school project","Dublin","BALLYMUN ROAD, DUBLIN 9","D09PE80","primary","ruthdonald@ndnsp.ie","Ruth Donald","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"33","91337B","Killinarden Community School (KCS)","Dublin","Killinarden, Tallaght, Dublin 24","D24RF70","secondary","gillanwhite@killinardencs.ie","Gillan White","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"34","68466G","High Cross college Tuam, Galway","Galway","North Campus, Currylea, Tuam, Co Galway","H54V260","secondary","office@highcrosscollege.ie","Ms Neasa Cosgrove","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"35","91360T","Clifden Community School","Kilkenny","Castlecomer, Co Kilkenny","R95AF5Y","secondary","office@castlecomercs.com","Mr Pat Murphy","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"36","","Early Years Preschool ,KARE,Curragh Grange","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"37","61681V","Patrician Primary School","Kildare","Naas Road, Newbridge, Co. Kildare.","W12XV38","secondary","admin@pssnb.com","Mr. Pat Moloney","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"38","68309N","Limerick Educate Together Secondary School","Limerick","Limerick ETSS, Groody Road, Towlerton, Castletroy, Limerick","V9432H4","secondary","office@limericketss.ie","Eoin Shinners","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"39","64240G","St Munchins College","Limerick","Corbally, Limerick","V94HXW5","secondary","office@stmunchinscollege.ie","Shane Fitzgerald","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"40","","Monaleen N.S","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"41","64250J","Colaiste nano Nagle","Limerick","Sexton Street, Limerick","V94YW24","secondary","office@cnnlimerick.ie","Sinead Moloney","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"42","76101I","Gaelcholaiste Luimnigh","Limerick","MEAL SIOR ANRAÍ, LUIMNEACH","V9423V7","secondary","info@gcldrive.com","KEVIN O RAGHALLAIGH","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"43","91508C","Boyne C.S.","Meath","Trim, Co. Meath","C15RK79","secondary","info@boynecs.ie","Ms. Jean Ryan","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"44","71110H","Dunshaghlin community college.","Cork","Avenue de Rennes, Mahon, Blackrock","T12WT21","secondary","office@naglecc.ie","Ms,Louise Phelan","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"45","","Nobber","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"46","63910U","St. Louis Secondary School","Louth","Dun Lughaidh, Dundalk, Co Louth","A91AE65","secondary","info@stlouisdundalk.ie","Michelle A. Dolan","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"47","64710R","Sacred Heart School, Tullamore, Offaly.","Mayo","Westport, Co Mayo","F28Y368","secondary","info@shswestport.ie","Kevin Malone","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"48","65170Q","Summerhill College, Sligo","Sligo","College Road, Sligo","F91D5YF","secondary","info@summerhillcollege.ie","Aileen Cawley","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"49","09186P","Scoil Mhuire COS","Monaghan","Magherarney, Smithborough, Co. Monaghan","H18RX50","primary","info@magherarneyns.com","Claire NicGabhann","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"50","01862M","Tipperary ETB","Tipperary","St Michael's Street, Tipperary","E34Y098","primary","stmichaelsgnsinfo@gmail.com","Ide Mooney","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"51","60670L","High school Clonmel","Dublin","Danum, Zion Road, Rathgar, Dublin","D06YR68","secondary","office@highschool.ie","G.A. Forrest","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"52","60670L","CBS High School Clonmel","Dublin","Danum, Zion Road, Rathgar, Dublin","D06YR68","secondary","office@highschool.ie","G.A. Forrest","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"53","","Longford Westmeath Education & Training Board.","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"54","60450U","Coláiste Mhuire, Mullingar,","Dublin","Bothar Rath Tó, Cabrach, Baile Átha Cliath 7","D07CY97","secondary","runai@colaistemhuire.ie","Oisín Mac Eoin","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"55","","CBS New Ross","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"56","","WWETB","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"57","","Star On the Lane.","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"58","76596P","Greystones Community College.","Wicklow","Mill Road, Greystones, Co Wicklow","A63A3K2","secondary","gcc@kwetb.ie","Ruairi Farrell","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"59","70810H","Avondale Community College, Rathdrum, Co. Wicklow.","Wicklow","Rathdrum, Co Wicklow","A67RR26","secondary","AvondaleCC@kwetb.ie","Elaine Fitzgerald","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"60","60361V","St. Raphaela's Secondary School. Stillorgan,","Dublin","St. Raphaela's Road, Stillorgan, Blackrock, Co. Dublin","A94NT29","secondary","secretary@straphaelas.ie","Eileen O' Donnell","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"61","60121B","Moyle Park Clondalkin","Dublin","Clondalkin, Dublin 22","D22V072","secondary","info@moyleparkcollege.com","Ms. Niamh Cahalane","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"62","","Francis tcbs","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
