,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Eircode,School Latitude,School Longitude,School Planning area,Local Authority,Principal Name,Email,Phone,Pupil Attendance Type,School Gender - Post Primary,Post Primary School Type,Fee Paying School (Y/N),DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Irish Classification - Post Primary,Ethos/Religion,FEMALE,MALE,Total 2025-2026
2025,60092U,Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,,Dublin,A94P206,53.269829,-6.15734,Sallynoggin_Killiney_DLR,Dun Laoghaire Rathdown,MR. EDWARD MELLY,reception@clonkeencollege.ie,012892709,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,635,635
2025,60100Q,Castleknock College,College Rd,Castleknock,Dublin 15,,Dublin,D15PD95,53.368411,-6.36861,Castleknock_D15,Fingal County Council,MISS ELAINE KELLY,principalpa@castleknockcollege.ie,018213051,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,771,771
2025,60120W,Mount Sackville Secondary School,Tower Road,Chapelizod,Dublin 20,,Dublin,D20WP68,709357.345542208,53.359833,Castleknock_D15,Fingal County Council,MRS. EILEEN HIGGINS,info@mountsackville.ie,018213317,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,636,0,636
2025,60121B,Moyle Park College,Clondalkin,Dublin 22,,,Dublin,D22V072,53.320279,-6.397356,Clondalkin_D22,South Dublin County Council,MS. NIAMH CAHALANE,info@moyleparkcollege.com,014574837,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,763,763
2025,60122D,Coláiste Bríde,New Road,Clondalkin,Dublin 22,,Dublin,D22C6Y2,53.317418,-6.38961,Clondalkin_D22,South Dublin County Council,MISS MARIE THERESE KILMARTIN,info@colaistebride.com,014591158,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,993,0,993
2025,60130C,Loreto Abbey Secondary School,Dalkey,Co Dublin,,,Dublin,A96YC81,53.279522,-6.09983,Dunlaoghaire,Dun Laoghaire Rathdown,MR. ROBERT DUNNE,office@loretoabbeydalkey.ie,012718900,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,757,0,757
2025,60140F,Mount Anville Secondary School,Mount Anville Road,Dublin 14,,,Dublin,D14A8P3,53.29328,-6.222606,Goatstown_Stillorgan_DLR,Dun Laoghaire Rathdown,MS. SINEAD NOLAN,office@mountanville.ie,012885313,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,726,0,726
2025,60180R,Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,,Dublin,A96TF64,53.289767,-6.148051,Dunlaoghaire,Dun Laoghaire Rathdown,MR. GERARD DUFFY,office@cbcmonkstown.ie,012805854,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,549,549
2025,60240J,Loreto College Foxrock,Springfield Park,Foxrock,Dublin 18,,Dublin,D18FT21,53.272796,-6.176827,Sallynoggin_Killiney_DLR,Dun Laoghaire Rathdown,MISS FIONNUALA GLEESON,admin@loretofoxrock.ie,012895637,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,660,0,660
2025,60250M,Holy Child Killiney,Military Road,Killiney,Co. Dublin,,Dublin,A96XP82,725799.292006458,53.252851,Ballybrack_Shankill_DLR,Dun Laoghaire Rathdown,MISS DEIRDRE MARIE HICKEY,admin@holychildkilliney.ie,012823120,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,382,0,382
2025,60260P,St Joseph Of Cluny Secondary School,Ballinclea Road,Killiney,Co. Dublin,,Dublin,A96DK13,725158.627554507,53.270691,Sallynoggin_Killiney_DLR,Dun Laoghaire Rathdown,MR. BENEDICT GERARD HEALY,office@clunykilliney.ie,012855027,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,250,20,270
2025,60261R,St Benildus College,Upper Kilmacud Rd,Stillorgan,Blackrock,Co Dublin,Dublin,A94X886,718597.978671032,53.284637,Goatstown_Stillorgan_DLR,Dun Laoghaire Rathdown,MRS. MARY P BROHAN,stbenildusoffice@stbenilduscollege.com,012986539,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,949,949
2025,60262T,St Laurence College,Loughlinstown,Dublin 18,,,Dublin,D18AK07,724228.058269933,53.250937,Sallynoggin_Killiney_DLR,Dun Laoghaire Rathdown,MR. ROBERT MATHEWS,secretary@stlaurencecollege.com,012826930,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,150,152,302
2025,60263V,St Joseph's College,Lucan,Co Dublin,,,Dublin,K78VW74,53.358056,-6.440358,Lucan,South Dublin County Council,MS. BERNADETTE FITZGERALD,stjosephslucan@gmail.com,016281160,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,934,0,934
2025,60264A,Coláiste Phádraig CBS,Roselawn,Lucan,Co. Dublin,,Dublin,K78E927,53.356896,-6.432676,Lucan,South Dublin County Council,MR. THOMAS O MEARA,admin@colaistephadraig.com,016282299,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,745,745
2025,60272W,The Kings Hospital,Palmerstown,Dublin 20,,,Dublin,D20V256,53.358817,-6.385965,Palmerstown_Ronanstown_D20_22,South Dublin County Council,MR. MARK WALLACE,headmaster@thekingshospital.ie,016436500,Mixed,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CHURCH OF IRELAND,391,341,732
2025,60290B,St Pauls College,Sybil Hill,Raheny,Dublin,,Dublin,D05C673,53.373134,-6.193259,Killester_Raheny_Clontarf,Dublin City Council,MR. SEAN MORAN,admin@stpaulscollege.ie,018314011,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,650,650
2025,60291D,Árdscoil La Salle,Raheny Road,Raheny,Dublin 5,,Dublin,D05Y132,721747.795989706,53.388964,Killester_Raheny_Clontarf,Dublin City Council,MS. MICHELLE BENSON,secretary@ardscoillasalle.ie,018480055,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,131,158,289
2025,60300B,Manor House School,Watermill Road,Raheny,Dublin 5,,Dublin,D05R827,721552.080561728,53.378541,Killester_Raheny_Clontarf,Dublin City Council,MRS. ANNA DUNWOODY,principal@manorhouseschool.com,018316782,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,652,0,652
2025,60310E,De La Salle College,Upper Churchtown Road,Churchtown,Dublin 14,,Dublin,D14A0T9,715703.823073396,53.296986,Rathfarnham,Dun Laoghaire Rathdown,MISS SIOBHAN FOSTER,office@delasallecollege.com,012981067,Day,Mixed,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,103,360,463
2025,60320H,St Columba's College,Whitechurch,Dublin 16,,,Dublin,D16CH92,53.266464,-6.268967,Rathfarnham,South Dublin County Council,MARK TREMAYNE BOOBBYER,warden@stcolumbas.ie,014906791,Mixed,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CHURCH OF IRELAND,160,197,357
2025,60321J,Rockbrook Park School,Edmondstown Road,Rathfarnham,Dublin 16,,Dublin,D16P897,53.262419,-6.300677,Rathfarnham,South Dublin County Council,MR. JUDE MULLIGAN,secretary@rockbrook.ie,014933204,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,186,186
2025,60340N,Loreto High School,Beaufort,Grange Rd,Rathfarnham,Dublin 14,Dublin,D14E521,53.292416,-6.283779,Rathfarnham,South Dublin County Council,MS. AOIFE KAVANAGH,Aoife.kavanagh@loretohighschool.com,014933251,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,625,0,625
2025,60341P,Sancta Maria College,Ballyroan Crescent,Rathfarnham,Dublin 16,,Dublin,D16V389,53.284736,-6.303932,Rathfarnham,South Dublin County Council,MRS. SORCHA KENNEDY,info@sanctamariacollege.com,014934887,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,577,0,577
2025,60342R,Coláiste Éanna,Hillside Park,Ballyroan Road,Rathfarnham,Dublin 16,Dublin,D16E248,53.286303,-6.298938,Rathfarnham,South Dublin County Council,MR. SEAN G. O'MURCHU,secretary@colaisteeanna.ie,014931767,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,618,618
2025,60343T,St Joseph's Secondary School,Convent Lane,Rush,Co. Dublin,,Dublin,K56A308,53.51992,-6.090893,Rush&Lusk,Fingal County Council,MR. DARAGH NEALON,office@stjosephsrush.com,018437534,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,432,513,945
2025,60361V,St Raphaela's Secondary School,St. Raphaela's Road,Stillorgan,Blackrock,Co. Dublin,Dublin,A94NT29,53.283105,-6.205339,Goatstown_Stillorgan_DLR,Dun Laoghaire Rathdown,MS. DENISE O'DOWD,secretary@straphaelas.ie,012888730,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,637,0,637
2025,60370W,St. Fintan's High School,Dublin Road,Sutton,Dublin 13,,Dublin,D13HN59,53.389185,-6.117946,Donaghmede_Howth_D13,Fingal County Council,MS. KATHY MULLEN,info@stfintanshs.ie,018324632,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,714,714
2025,60380C,Santa Sabina Dominican College,Greenfield Road,Sutton,Dublin 13,D13 RD80,Dublin,D13RD80,726350.208792692,53.387131,Donaghmede_Howth_D13,Fingal County Council,MS. JOYCE KAVANAGH,principal@santasabina.ie,018322200,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,754,0,754
2025,60381E,Sutton Park School,St Fintans Road,Sutton,Dublin 13,,Dublin,D13PY92,53.376583,-6.093261,Donaghmede_Howth_D13,Fingal County Council,MR. RONAN WALSH,info@sps.ie,018322940,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CHURCH OF IRELAND,248,255,503
2025,60383I,Coláiste Choilm,Dublin Road,Swords,Co Dublin,,Dublin,K67KW30,53.452505,-6.225518,Swords,Fingal County Council,MR. CATHAL FRANCIS BOYLE,info@colaistechoilmswords.ie,018401420,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,421,421
2025,60390F,St Josephs C.B.S.,Merville Ave,Fairview,Dublin 3,,Dublin,D03H524,53.363903,-6.233668,Drumcondra_Marino_Dublin1,Dublin City Council,MS. CIARA MCDONNELL,info@stjosephsfairview.ie,018339779,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,72,238,310
2025,60400F,St Vincents C.B.S. Glasnevin,Finglas Road,Glasnevin,Dublin 11,,Dublin,D11XV05,53.368259,-6.27498,Cabra_Phibsboro_D7,Dublin City Council,MS. MAIRE QUINN,mq@stvincentsd11.ie,018304375,Day,Boys,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,408,408
2025,60410I,C.B.S. James Street,James's Street,Dublin 8,,,Dublin,D08K338,53.340364,-6.289444,Dublin_8,Dublin City Council,MS. PAULINE QUEALLY,jamesstcbs123@outlook.ie,014547756,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,98,153,251
2025,60420L,Árdscoil Rís,Griffith Avenue,Marino,Dublin 9,,Dublin,D09AK30,53.369235,-6.228076,Beaumont_CoolockD5,Dublin City Council,MR. JOHN MC HUGH,admin@ardscoilris.com,018332633,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,563,563
2025,60430O,St Pauls C.B.S.,St. Paul's CBS Secondary School,Nth. Brunswick Street,Dublin 7,,Dublin,D07VF57,53.350591,-6.275708,Cabra_Phibsboro_D7,Dublin City Council,MR. PATRICK MCCORMACK,principal@thebrunner.ie,018720781,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,4,240,244
2025,60440R,O'Connell School,Richmond Street North,Dublin 1,,,Dublin,D01Y4A9,53.35825,-6.250797,Drumcondra_Marino_Dublin1,Dublin City Council,MR. LIAM NEWELL,secretary@oconnellschool.ie,018748307,Day,Boys,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,222,222
2025,60450U,Coláiste Mhuire,Bothar Rath Tó,Cabrach,Baile Átha Cliath 7,,Dublin,D07CY97,53.36603,-6.302419,Cabra_Phibsboro_D7,Dublin City Council,MR. OISIN MAC EOIN,runai@colaistemhuire.ie,018688996,Day,Mixed,Secondary,N,Y,N,N,All pupils taught all subjects through Irish,CATHOLIC,142,130,272
2025,60470D,"Christian Brothers, Synge St.",Synge Street CBS Secondary School,Synge Street,Dublin 8,Dublin,Dublin,D08R283,53.33349,-6.268224,Dublin_8,Dublin City Council,MS. CLARE CATTERSON,office@syngestreet.com,014783998,Day,Boys,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,256,256
2025,60471F,St. David's College,Artane,Dublin 5,,,Dublin,D05W667,53.381031,-6.217644,Beaumont_CoolockD5,Dublin City Council,MR. MICHAEL NALLY,office@stdavidscollege.ie,018315322,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,72,478,550
2025,60480G,Meanscoil Iognáid Rís,Long Mile Road,Walkinstown,Dublin 12,D12K682,Dublin,D12K682,53.324211,-6.333725,Dolphin's Barn_D12,Dublin City Council,MR. CONOR BRADLEY,info@drimnaghcastle.ie,014518316,Day,Boys,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,521,521
2025,60481I,St. Aidan's C.B.S.,Collins Avenue Ext,Whitehall,Dublin 9,,Dublin,D09XT54,53.384351,-6.252129,Whitehall_SantryD9,Dublin City Council,MR. LIAM REILLY,secretary@staidanscbs.ie,018377587,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,725,725
2025,60490J,C.B.S. Westland Row,Westland Row,Dublin 2,,,Dublin,D02YX80,53.3428,-6.249075,Dublin2_Dublin4,Dublin City Council,MS. KATE BYRNE,info@cbswestlandrow.ie,016614143,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,105,100,205
2025,60491L,St Declan's College,Nephin Road,Cabra,Dublin 7,,Dublin,D07NN63,53.366838,-6.303069,Cabra_Phibsboro_D7,Dublin City Council,MR. BRIAN AVERY,info@stdeclanscollege.ie,018380357,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,651,651
2025,60500J,Marian College,Ballsbridge,Dublin 4,,,Dublin,D04W268,53.333138,-6.226792,Dublin2_Dublin4,Dublin City Council,MR. PATRICK GLOVER,principal@mariancollege.ie,016684036,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,318,318
2025,60511O,Beneavin De La Salle College,Beneavin Road,Finglas,Dublin,,Dublin,D11NH7E,713969.493236809,53.389221,FinglasEast_BallymunD11,Dublin City Council,MS. ANN MARIE LEONARD,principal@beneavin.com,018341410,Day,Boys,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,585,585
2025,60520P,Belvedere College S.J,6 Great Denmark Street,Dublin 1,,,Dublin,D01TK25,53.35551,-6.262121,Drumcondra_Marino_Dublin1,Dublin City Council,MR. GERRY FOLEY,dreddy@belvederecollege.ie,018586600,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,1011,"1,011"
2025,60530S,Gonzaga College,Sandford Road,Ranelagh,Dublin,,Dublin,D06KF95,53.316816,-6.249403,Dublin6_Clonskeagh,Dublin City Council,MR. DAMON MCCAUL,headmaster@gonzaga.ie,014972931,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,576,576
2025,60540V,Catholic University School,89 Lower Leeson Street,Dublin 2,,,Dublin,D02KC81,53.335297,-6.255882,Dublin2_Dublin4,Dublin City Council,MR. CLIVE G MARTIN,office@cus.ie,017756800,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,544,544
2025,60550B,Chanel College,Coolock Village,Malahide Road,Dublin 5,,Dublin,D05EY86,53.388016,-6.203976,Beaumont_CoolockD5,Dublin City Council,MR. DARA GILL,chaneloffice@chanelcollege.ie,018480655,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,451,451
2025,60560E,"St. Mary's College C.S.Sp., Rathmines",73-79 Lower Rathmines Road,Dublin 6,,,Dublin,D06CH79,53.327414,-6.266698,Dublin6_Clonskeagh,Dublin City Council,MR. DENIS MURPHY,denismurphy@stmarys.ie,014995700,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,500,500
2025,60561G,St Michaels College,Ailesbury Road,Dublin 4,,,Dublin,D04NC59,53.319306,-6.217416,Dublin2_Dublin4,South Dublin County Council,MR. T M KELLEHER,edel@stmc.ie,012189400,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,731,731
2025,60562I,Templeogue College,Templeville Road,Templeogue,Dublin 6W,,Dublin,D6WE622,53.304164,-6.311988,Dublin_6w,South Dublin County Council,MR. KIERAN DOWLING,info@templeoguecollege.ie,014905788,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,637,637
2025,60570H,Terenure College,Templeogue Road,Terenure,Dublin 6w,,Dublin,D6WDK72,53.30425,-6.297376,Dublin_6w,Dublin City Council,MR. PHILIP WALLACE,admin@terenurecollege.ie,014997000,Day,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,800,800
2025,60581M,St Kevins College,Ballygall Rd. East,Ballygall,Dublin 11,,Dublin,D11VF10,53.38545,-6.277384,Whitehall_SantryD9,Dublin City Council,EOGHAN ROONEY,info@stkevinscollege.com,018371423,Day,Boys,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,0,503,503
2025,60590N,St Conleths College,28 Clyde Road,Ballsbridge,Dublin 4,,Dublin,D04FT98,53.327963,-6.240353,Dublin2_Dublin4,Dublin City Council,MISS ANGELINA HOPKINS,reillyp@stconleths.ie,016680022,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,128,211,339
2025,60630W,St Kilian's Deutsche Schule,Roebuck Road,Clonskeagh,Dublin 14,,Dublin,D14P7F2,53.303796,-6.229184,Booterstown_Blackrock,Dun Laoghaire Rathdown,MR. NIGEL MAC MILLAN,nigel.macmillan@kilians.com,012883323,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,INTER DENOMINATIONAL,205,270,475
2025,60640C,Sandford Park School Ltd,Sandford Road,Ranelagh,Dublin 6,,Dublin,D06FN29,53.321874,-6.250483,Dublin6_Clonskeagh,Dublin City Council,MR. JAMES MURPHY,jmurphy@sandfordparkschool.ie,014971417,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,INTER DENOMINATIONAL,187,250,437
2025,60650F,St Andrews College,Booterstown Ave,Blackrock,Co Dublin,,Dublin,A94XN72,53.305607,-6.201601,Booterstown_Blackrock,Dun Laoghaire Rathdown,MISS LOUISE MARSHALL,information@st-andrews.ie,012882785,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,PRESBYTERIAN,524,487,"1,011"
2025,60660I,St Patricks Cathedral Grammar School,St Patricks Close,Dublin 8,,,Dublin,D08WK19,53.338982,-6.271589,Dublin_8,Dublin City Council,MR. TIMOTHY GILL,principal@spcgs.ie,014543388,Day,Mixed,Secondary,N,N,N,N,No subjects taught through Irish,CHURCH OF IRELAND,155,147,302
2025,60670L,The High School,Danum,Zion Road,Rathgar,Dublin,Dublin,D06YR68,53.305787,-6.273284,Dublin6_Clonskeagh,Dublin City Council,MR. ANDREW FORREST,office@highschool.ie,014922611,Day,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CHURCH OF IRELAND,356,455,811
2025,60690R,Dominican College,"204, Griffith Ave",Drumcondra,Dublin 9,,Dublin,D09A5X0,716493.510175192,53.374338,Drumcondra_Marino_Dublin1,Dublin City Council,MS. MARGUERITE O HORA,admin@dominican-college.com,018376080,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,799,0,799
2025,60700R,Scoil Chaitriona,Bóthar Mobhí,Glas Naíon,Ath Cliath 9,,Dublin,D09TW99,715625.413738428,53.374617,Drumcondra_Marino_Dublin1,Dublin City Council,MS. FIONA NÍ CHATHÁIN,oifig@scoilchaitriona.ie,018370762,Day,Mixed,Secondary,N,Y,N,N,All pupils taught all subjects through Irish,CATHOLIC,288,235,523
2025,60710U,Muckross Park College,Marlborough Road,Donnybrook,Dublin,,Dublin,D04CF59,717085.476632984,53.321665,Dublin6_Clonskeagh,Dublin City Council,MS. SIOBHAN KELLY,secretary@muckrossparkcollege.com,014914033,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,709,0,709
2025,60731F,St Dominics College,Navan road,Cabra,Dublin 7,,Dublin,D07NX47,712650.147646082,53.371362,Cabra_Phibsboro_D7,Dublin City Council,MS. EILEEN COLLINS,info@stdominics.ie,018385282,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,790,0,790
2025,60741I,St Michaels Secondary School,Wellmount Road,Finglas,Dublin 11,,Dublin,D11H521,712976.513556124,53.387198,Scribblestown_FinglasWest,Dublin City Council,MS. MARIE DOYLE,office@stmichaelshf.ie,018341767,Day,Girls,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,646,0,646
2025,60750J,Holy Faith Secondary School,1 Belgrove Road,Clontarf,Dublin 3,,Dublin,D03R528,719978.078278874,53.360182,Killester_Raheny_Clontarf,Dublin City Council,MS. AUDREY CARTY,admin@holyfaithclontarf.com,018331507,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,647,0,647
2025,60770P,St Mary's Secondary School,St. Mary's Secondary School,Holy Faith Convent,Glasnevin,Dublin 11,Dublin,D11X478,714937.399098675,53.375897,Cabra_Phibsboro_D7,Dublin City Council,MR. PAUL CLARKE,office@stmaryshfg.ie,018374413,Day,Girls,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,830,0,830
2025,60791A,St Marys Secondary School,Brookwood Meadow,Killester,Dublin 5,,Dublin,D05K588,719621.048087239,53.378999,Killester_Raheny_Clontarf,Dublin City Council,MS. NIAMH SULLIVAN,admin@hfk.ie,018310963,Day,Girls,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,320,0,320
2025,60792C,Presentation College,Presentation Secondary School,Clarence Mangan Road,Warrenmount,Dublin.8.,Dublin,D08W0X7,53.335981,-6.277812,Dublin_8,Dublin City Council,MS. GWENDOLEN BRENNAN,info@warrenmountss.ie,014547520,Day,Mixed,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,157,105,262
2025,60800V,Loreto College,Crumlin Road,Dublin 12,,,Dublin,D12E196,53.329786,-6.297702,Dolphin's Barn_D12,Dublin City Council,MS. MARY KELLEHER,secretary@loretocrumlin.ie,014542380,Day,Girls,Secondary,N,Y,N,N,No subjects taught through Irish,CATHOLIC,320,0,320
2025,60810B,Loreto College,Swords,Rivervalley,Swords Co Dublin,,Dublin,K67Y319,53.454322,-6.245608,Swords,Fingal County Council,MR. PETER MCNAMARA,office@loretoswords.ie,018407025,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,655,0,655
2025,60820E,Loreto College,53 St Stephens Green,Dublin 2,,,Dublin,D02XE79,53.336828,-6.256357,Dublin2_Dublin4,Dublin City Council,MS. JACQUELINE DEMPSEY,info@loretothegreen.ie,016618179,Day,Girls,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,588,0,588
