Total Enrolment in Mainstream National Schools for the 2024/2025 school year (enrolment is as of 30th September 2024),,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,School Planning Area,Email,Phone No.,Principal Name,Local Authority Description,School Type,School Level,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Patron,Female,Male,Enrolment per Return
2024,00892Q,SHANGANAMORE N S,Shanganamore,Athy,Co. Laois,,Laois,R14K659,52.953447,-6.993584,Athy,shanganamorens87@gmail.com,0598632315,Pauline Lawlor,Laois County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,54,49,103
2024,00895W,BALLINAKILL MIXED N S,Ballinakill,Portlaoise,Co. Laois,,Laois,R32TX38,52.875947,-7.308105,Ballinakill,ballinakillps@gmail.com,0578733393,Sinead Campion,Laois County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,47,51,98
2024,00934G,PRESENTATION CONVENT (JNR),Harbour Street,Mullingar,Co. Westmeath,,Westmeath,N91YD83,53.528397,-7.342611,Mullingar,adminjnr@presentationmullingar.ie,0449342166,Natasha Miskell,Westmeath County Council,Ordinary with Special Classes,Junior,Y,No subjects through Irish,N,N,Catholic,Bishop of Meath,138,146,284
2024,00941D,S N BHRIDE,Emper,Ballynacargy,Co. Westmeath,,Westmeath,N91PP71,53.595805,-7.589469,Ballymahon,info@emperns.com,0449373388,Fiona Brennan,Westmeath County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,12,12,24
2024,00973Q,GRANGE CON N S,Grange Con Primary School,Grange Con,Dunlavin,,Wicklow,W91TV06,52.995035,-6.743243,Dunlavin,grangeconns1965@gmail.com,045403111,Ciara O'Hara,Wicklow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,9,10,19
2024,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,Co. Carlow,,Carlow,R93VA44,52.812708,-6.629192,Tullow,ballyconnellnationalschool@gmail.com,0599156226,Mary Dolan,Carlow County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,114,89,203
2024,00984V,GLENEALY 1 N S,Glenealy,Co. Wicklow,,,Wicklow,A67CD78,52.962945,-6.152084,Wicklow,secretary@glenealy2ns.com,040444884,Denise O Brien,Wicklow County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,48,65,113
2024,01000E,ESKER N S,Esker,Athenry,Co. Galway,,Galway,H65HY10,53.278533,-8.681703,Athenry,office@eskerns.ie,091848008,Paul Connell,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Clonfert,34,38,72
2024,01013N,SCOIL CROI IOSA,Newcastle Road,Galway,,,Galway,H91FV48,53.274206,-9.06249,Galway City,scoilchroiiosa@gmail.com,091525904,Colin Barry,Galway City Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",74,62,136
2024,01086R,S N POL NAOFA,Church Road,Castlerea,Co. Roscommon,,Roscommon,F45FK09,53.765133,-8.48373,Castlerea,boysnscastlerea.ias@gmail.com,0949620566,Olivia Walsh,Roscommon County Council,Ordinary,Senior,Y,No subjects through Irish,N,N,Catholic,Bishop of Elphin,,54,54
2024,01116A,BAILE AN CHUILINN N S,Ballinkillen,Muine Bheag,Co. Carlow,,Carlow,R21Y803,52.648811,-6.930095,Bagenalstown,bkns.ias@gmail.com,0599775153,Leila M Doorley,Carlow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,63,63,126
2024,01125B,LEITRIM MXD N S,Leitrim Village,Carrick-on-Shannon,Co. Leitrim,,Leitrim,N41EC81,53.992719,-8.066967,Carrick-on-Shannon,leitrimns@gmail.com,0719621205,Richella Kelly,Leitrim County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,107,111,218
2024,01170G,S N na hAille,Westown,Naul,Co. Dublin,,Dublin,K32PX40,53.578874,-6.285636,Balbriggan,naulns1834@gmail.com,018413821,Kate Henry,Fingal County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,72,84,156
2024,01215C,NEWTOWN DUNLECKNEY MXD,Newtown,Muinebheag,Co. Carlow,,Carlow,R21PP74,52.722797,-6.876546,Bagenalstown,office@newtowndunleckneyns.com,0599727299,Lisa Murphy,Carlow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,72,73,145
2024,01272O,S N CHUAN DOIR,Drombeg,Glandore,Co. Cork,,Cork,P81VE04,51.568066,-9.095129,Roscarbery,office@glandorens.ie,02833796,Catherine (Ríona) Murray,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,32,44,76
2024,01285A,TIPPERARY JNR BN S,St Michael's Street,Tipperary,,,Tipperary,E34HD52,52.478172,-8.158732,Tipperary,stmichaelsjbs@gmail.com,06251913,Siobhan Verdon,Tipperary (Sr) County Council,Ordinary,Junior,Y,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,,107,107
2024,01300Q,ST MICHAELS NATIONAL SCHOOL,Danesfort,Co. Kilkenny,,,Kilkenny,R95X527,52.583107,-7.242005,Kilkenny,danesfortns@gmail.com,0567727588,Niamh McGrath,Kilkenny County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ossory,31,34,65
2024,01309L,STACKALLEN N S,Stackallen,Navan,Co. Meath,,Meath,C15Y104,53.710638,-6.621117,Navan,info@stackallenschool.com,0469024207,Rebekah Rafferty,Meath County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,92,81,173
2024,01328P,KILTORMER N S,Kiltormer,Ballinasloe,Co. Galway,,Galway,H53AH28,53.235685,-8.274253,Ballinasloe,kiltormernsgalway@gmail.com,0909627109,Eimear Mahony,Galway County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Clonfert,47,41,88
2024,01356U,KILNALECK MIXED N S,Barrack Road,Kilnaleck,Co. Cavan,,Cavan,A82EY42,53.85972,-7.321483,Ballyjamesduff,kilnaleckns1@gmail.com,0494336728,Amanda O'Reilly,Cavan County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Kilmore,58,52,110
2024,01395H,AGLISH N S,Aglish,Cappoquin,Co. Waterford,,Waterford,P51WA03,52.073317,-7.823057,Lismore,aglishnationalschool@gmail.com,02496425,Jennifer Lynch,Waterford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,31,50,81
2024,01396J,TULLOHA NATIONAL SCHOOL,Bonane,Kenmare,Co. Kerry,,Kerry,V93DW99,51.826664,-9.52609,Kenmare,tullohans@gmail.com,0646641977,Pamela Dillane,Kerry County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,9,14,23
2024,01415K,RATHOE NS,Rathoe,Co. Carlow,,,Carlow,R93XY18,52.787528,-6.79976,Tullow,info@rathoens.com,0599148786,Erika Murphy,Carlow County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,75,93,168
2024,01421F,KILSKYRE MIXED N S,Kilskyre,Kells,Co. Meath,,Meath,A82DH22,53.693928,-6.996051,Kells,kilskyrens@gmail.com,0469243947,Bebhinn King,Meath County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,40,48,88
2024,01434O,S N COLUMCILLE,Tullydonnell,Togher,Drogheda,Co. Louth,Louth,A92TW50,53.837487,-6.336249,Dunleer,st.colmcilles1@gmail.com,0416852301,Anne Marie Ford,Louth County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,73,86,159
2024,01553W,ST. MOCHTA'S NATIONAL SCHOOL,Louth Village,Co. Louth,,,Louth,A91AE79,53.950106,-6.544132,Dundalk,louthschool@gmail.com,0429374840,Patrick Martin,Louth County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,64,90,154
2024,01554B,Ballapousta NS,Ballapousta,Ardee,Co. Louth,,Louth,A92XD53,53.821825,-6.557533,Ardee,principal@ballapoustans.ie,0416853966,Peter Dooley,Louth County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,89,86,175
2024,01569O,BALLYCAHILL N S,Ballycahill,Thurles,Co. Tipperary,,Tipperary,E41RR68,52.688221,-7.907217,Thurles,ballycahillns@gmail.com,050422492,Mary Madden,Tipperary (Nr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,27,22,49
2024,01572D,S N NAOMH PADRAIG,Carrowhill,Drumfries,Co. Donegal,,Donegal,F93YY19,55.198835,-7.393587,Buncrana,admin@drumfriesschool.com,0749363396,Sorcha Harkin,Donegal County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Derry,28,39,67
2024,01574H,SCOIL NAOMH IÓSAF,Connaghkinnego,Ballymagan,Buncrana,Co. Donegal,Donegal,F93HX30,55.157011,-7.354134,Buncrana,stjoesias@gmail.com,0749362212,Andrea Long,Donegal County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Derry,33,17,50
2024,01583I,GLOUNAGUILLAGH N S,Glannagilliagh,Caragh Lake,Killorglin,Co. Kerry,Kerry,V93HX07,52.072013,-9.832559,Killorglin_Milltown,office@glounaguillaghns.ie,0669769402,Sinead Pigott,Kerry County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,69,76,145
2024,01594N,ST JOHNS,Golden Grove Road,Roscrea,Co. Tipperary,,Tipperary,E53N562,52.959953,-7.799906,Roscrea,scoileoinnaofa@gmail.com,050523903,Mark McLoughlin,Tipperary (Nr) County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,77,86,163
2024,01607T,S N Cor na Fola B,Cornafulla,Athlone,Co. Roscommon,,Roscommon,N37FW74,53.375323,-8.005243,Athlone,principal@cornafullans.ie,0906437177,Ronan Farrell,Roscommon County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Elphin,113,125,238
2024,01676P,BALLINDINE B N S,Ballindine,Claremorris,Co. Mayo,,Mayo,F12CY64,53.672826,-8.95682,Claremorris,ballindineinfo@gmail.com,0949364204,Stephen McHugh,Mayo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Tuam,57,80,137
2024,01687U,DROMLEIGH N S,Dromleigh,Kilmichael,Macroom,Co. Cork,Cork,P12DY26,51.834531,-9.03862,Macroom,dromleighns@gmail.com,02646212,Julie Murray,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,20,24,44
2024,01692N,FIRMOUNT MIXED N S,Firmount,Donoughmore,Co. Cork,,Cork,P32TX21,51.987786,-8.697914,Blarney,info@firmountns.ie,0217337344,Liam Buckley,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,76,93,169
2024,01711O,S N CILL ROSANTA,Kilrossanty,Kilmacthomas,Co. Waterford,,Waterford,X42XW57,52.179765,-7.542886,Dungarvan,office@kilrossantyns.ie,051291419,Catherine Dunwoody,Waterford County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,47,61,108
2024,01731U,BALLYNACARGY MIXED N S,Ballynacargy,Co. Westmeath,,,Westmeath,N91TW13,53.584737,-7.53636,Mullingar,principal.ballynacargyns@gmail.com,0449373300,Lorraine Rowan,Westmeath County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Meath,26,25,51
2024,01733B,ARDARA MIXED N S,Back Road,Ardara,Co. Donegal,,Donegal,F94P279,54.764054,-8.411388,Glenties,office@ardaramixed.com,0749541539,Claudia McGinley,Donegal County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Church Of Ireland,Bishop of Derry & Raphoe COI,11,7,18
2024,01782O,S N NAOMH PADRAIG,Barnacleagh,Arklow,Co. Wicklow,,Wicklow,Y14NW50,52.795034,-6.234629,Arklow,bcjohnstown@gmail.com,040239602,Catherine McGarry,Wicklow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,35,46,81
2024,01795A,CENTRAL INFS SCHOOL,Marlborough Street,Dublin 1,,,Dublin,D01ER24,53.351236,-6.255884,Drumcondra_Marino_Dublin1,info@centralmodelinfantschool.ie,018788344,Elaine Dunphy,Dublin City Council,Ordinary,Junior,Y,No subjects through Irish,N,N,Catholic,Minister for Education & Skills,70,78,148
2024,01821V,S N RATH MOR,Rathmore,Naas,,,Kildare,W91VK46,53.20615,-6.569816,Blessington,office@rathmorens.ie,045862145,Lucy Travers,Kildare County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,133,172,305
2024,01840C,ST CANICE S CONVENT,Rosbercon,New Ross,Co. Wexford,,Wexford,Y34VH61,52.397705,-6.952735,New Ross,stcanicesns@gmail.com,051422813,Rachel O'Donnell,Wexford County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Ossory,93,96,189
2024,01862M,TIPPERARY G N S,St Michael's Street,Tipperary,,,Tipperary,E34Y098,52.477746,-8.159308,Tipperary,stmichaelsgnsinfo@gmail.com,06233527,Ide Mooney,Tipperary (Sr) County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,133,,133
2024,01866U,BALLYFORAN MIXED N S,Ballyforan,Ballinasloe,Co. Roscommon,,Roscommon,H53WN36,53.469841,-8.273834,Ballygar,ballyforanns@gmail.com,0906622300,Thomas Murray Principal,Roscommon County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Elphin,26,38,64
2024,01867W,CASTLELYONS B N S,Castlelyons,Co. Cork,,,Cork,P61PH66,52.082638,-8.229099,Fermoy,office@castlelyonsns.com,02536220,Chonchubhair de Róiste,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,89,104,193
2024,02007A,CROAGH NATIONAL SCHOOL,Croagh,Rathkeale,Co. Limerick,,Limerick,V94R7R2,52.534407,-8.873367,Rathkeale,croaghns23@gmail.com,06964750,Henry O'Gorman,Limerick County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,34,32,66
2024,02013S,BALLINTOGHER N S,Kingsfort,Ballintogher,Co. Sligo,,Sligo,F91DR72,54.199463,-8.367141,Coola Cross,sntreasa@gmail.com,0719164939,Ruth Sweeney Acting Principal,Sligo County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,29,48,77
2024,02114B,S N BAILE UI GHIBLIN,Ballygiblin,Mitchelstown,Co. Cork,,Cork,P67PK30,52.273004,-8.199701,Mitchelstown,ballygiblinns19@gmail.com,02524933,Mary Collins,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,51,57,108
2024,02124E,SCOIL NAIS MOLAISE,Parknakyle,Old Leighlin,Co. Carlow,,Carlow,R93NX05,52.739716,-7.033827,Bagenalstown,oldleighlinns@gmail.com,0599722166,Mandy Ryan,Carlow County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,54,63,117
2024,02237R,DUALLA N S,Dualla,Cashel,Co. Tipperary,,Tipperary,E25E288,52.541947,-7.816418,Cashel,duallans@gmail.com,06262241,John Manley,Tipperary (Sr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,50,44,94
2024,02263S,CROWENSTOWN N S,Crowenstown,Delvin,Co. Westmeath,,Westmeath,N91X7DV,53.611228,-7.036953,Athboy,office@crowenstownns.ie,0449664585,Carmel Thorpe,Westmeath County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,5,14,19
2024,02278I,MILLSTREET CONVENT N S,West End,Millstreet,Co. Cork,,Cork,P51V599,52.058802,-9.065566,Millstreet,millpns@gmail.com,02970957,Siobhán Uí Bhuachalla,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,173,72,245
2024,02322I,ST OLIVERS NS,Dundalk Street,Carlingford,Co. Louth,,Louth,A91NW92,54.037499,-6.183387,Bush,info@stoliversns.ie,0429373405,Sinéad McKeown,Louth County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,61,66,127
2024,02358G,TEMPLEGLANTINE N S,Templeglantine East,Co. Limerick,,,Limerick,V94KC56,52.394852,-9.179742,Abbeyfeale,office@templeglantinens.ie,06984300,Ann Marie Leonard,Limerick County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,41,29,70
2024,02413L,S N NAOMH EOIN,Rath,Fivealley,Birr,Co. Offaly,Offaly,R42HN30,53.137922,-7.807295,Birr,scoilnaisiuntanaomheoin@gmail.com,0579133011,Susan McDonnell,Offaly County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,73,75,148
2024,02418V,Knockaderry Farranfore National School,Farranfore,Killarney,Co. Kerry,,Kerry,V93NF44,52.171515,-9.547754,Castleisland,info@knockaderryfarranforens.ie,0669764729,Áine Daly,Kerry County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,28,29,57
2024,02428B,LACKAMORE N S,Lackamore,Newport,Co. Tipperary,,Tipperary,V94V5D1,52.694825,-8.322258,Newport,lackamorens@gmail.com,061378360,Karen O'Brien,Tipperary (Nr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,23,21,44
2024,02439G,S N MHUIRE,Bauroe,Feakle,Co. Clare,,Clare,V94R8Y1,52.924171,-8.649257,Scariff,feaklens@gmail.com,061924116,Marion Mahon,Clare County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,22,36,58
2024,02452V,CLOYNE NATIONAL SCHOOL,Cloyne,Co. Cork,,,Cork,P25K220,51.861849,-8.127086,Midleton_Carrigtwohill,principal@cloynens.com,0214652567,Mary O'Brien,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,151,150,301
2024,02670I,SAN ISADOIR,Nodstown South,Boherlahan,Cashel,Co. Tipperary,Tipperary,E25KX75,52.572263,-7.892832,Cashel,boherlahanns@gmail.com,050441184,Catherine Cleary,Tipperary (Sr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,67,49,116
2024,02745N,TALLONSTOWN N S,Tallanstown,Dundalk,Co. Louth,,Louth,A91YX04,53.919449,-6.549708,Ardee,tallanstownns@gmail.com,0429374419,Clíodhna Hyland,Louth County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,125,153,278
2024,02793B,S N MULLACH BUI,Castletowncooley,Riverstown,Co. Louth,,Louth,A91H319,54.019923,-6.220162,Bush,smcclean@mullaghbuoyns.com,0429376202,Siobhan McClean,Louth County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,29,40,69
2024,02803B,BANTEER N S,Banteer,Co. Cork,,,Cork,P51TK64,52.131365,-8.891284,Kanturk,office@banteerns.ie,02956262,Jane Daly,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,83,106,189
2024,02813E,S N SHEANAIN,Corgrigg,Foynes,Co. Limerick,,Limerick,V94NX50,52.608734,-9.105179,Askeaton/Foynes/Shanagolden/Pallaskenry,stsenans@yahoo.ie,06965117,Thomas Lyng,Limerick County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,40,51,91
2024,02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,,Dublin,D18XV90,53.264215,-6.229486,Ballinteer_Stepaside_DLR,office@stmarysnssandyford.ie,012954173,Fergus Lyons,Dun Laoghaire Rathdown,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,127,117,244
2024,02889O,S N AN CHLAIS MHOR,Clashmore,Co. Waterford,,,Waterford,P36ET78,52.010986,-7.818822,Youghal,clashmorens19@gmail.com,02496404,Yvonne Uí Fhlaithimhín,Waterford County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,39,42,81
