Academic Year,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Eircode,School Latitude,School Longitude,School Planning area,County,Local Authority,Principal Name,Email,Phone,Ethos/Religion,Patron,Post Primary School Type,Irish Classification - Post Primary,School Gender - Post Primary,Pupil Attendance Type,Fee Paying School (Y/N),Island Location (Y/N),Gaeltacht Area Location (Y/N),DEIS (Y/N),FEMALE,MALE,Total 2023-2024
2023,60320H,St Columba's College,Whitechurch,Dublin 16,,,D16CH92,53.266464,-6.268967,Rathfarnham,Dublin,South Dublin County Council,MARK TREMAYNE BOOBBYER,warden@stcolumbas.ie,014906791,CHURCH OF IRELAND,Body of Fellows of St Columba's College ,Secondary,No subjects taught through Irish,Mixed,Mixed,Y,N,N,N,160,192,352
2023,60321J,Rockbrook Park School,Edmondstown Road,Rathfarnham,Dublin 16,,D16P897,53.262419,-6.300677,Rathfarnham,Dublin,South Dublin County Council,MR. JUDE MULLIGAN,secretary@rockbrook.ie,014933204,CATHOLIC,Famed Company Limited by Guarantee,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,157,157
2023,60340N,Loreto High School,Beaufort,Grange Rd,Rathfarnham,Dublin 14,D14E521,53.292416,-6.283779,Rathfarnham,Dublin,South Dublin County Council,MS. AOIFE KAVANAGH,info@loretohighschool.com,014933251,CATHOLIC,Loreto Education Trust,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,651,0,651
2023,60341P,Sancta Maria College,Ballyroan Crescent,Rathfarnham,Dublin 16,,D16V389,53.284736,-6.303932,Rathfarnham,Dublin,South Dublin County Council,MISS GERALDINE KENNEDY,info@sanctamariacollege.com,014934887,CATHOLIC,CEIST ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,568,0,568
2023,60342R,Coláiste Éanna,Hillside Park,Ballyroan Road,Rathfarnham,Dublin 16,D16E248,53.286303,-6.298938,Rathfarnham,Dublin,South Dublin County Council,MR. SEAN G. O'MURCHU,secretary@colaisteeanna.ie,014931767,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,595,595
2023,60343T,St Joseph's Secondary School,Convent Lane,Rush,Co. Dublin,,K56A308,53.51992,-6.090893,Rush&Lusk,Dublin,Fingal County Council,MR. DARAGH NEALON,office@stjosephsrush.com,018437534,CATHOLIC,CEIST ,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,409,533,942
2023,60361V,St Raphaela's Secondary School,St. Raphaela's Road,Stillorgan,Blackrock,Co. Dublin,A94NT29,53.283105,-6.205339,Goatstown_Stillorgan_DLR,Dublin,Dun Laoghaire Rathdown,Eileen O' Donnell,secretary@straphaelas.ie,012888730,CATHOLIC,Handmaids of the Sacred Heart,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,628,0,628
2023,60370W,St. Fintan's High School,Dublin Road,Sutton,Dublin 13,,D13HN59,53.389185,-6.117946,Donaghmede_Howth_D13,Dublin,Fingal County Council,MS. KATHY MULLEN,info@stfintanshs.ie,018324632,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,711,711
2023,60380C,Santa Sabina Dominican College,Greenfield Road,Sutton,Dublin 13,D13 RD80,D13RD80,53.387131,-6.100559,Donaghmede_Howth_D13,Dublin,Fingal County Council,MS. JOYCE KAVANAGH,admin@santasabina.ie,018322200,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,727,0,727
2023,60381E,Sutton Park School,St Fintans Road,Sutton,Dublin 13,,D13PY92,53.376583,-6.093261,Donaghmede_Howth_D13,Dublin,Fingal County Council,MR. RONAN WALSH,info@sps.ie,018322940,CHURCH OF IRELAND,Board of Governors of Sutton Park School,Secondary,No subjects taught through Irish,Mixed,Mixed,Y,N,N,N,215,261,476
2023,60383I,Coláiste Choilm,Dublin Road,Swords,Co Dublin,,K67KW30,53.452505,-6.225518,Swords,Dublin,Fingal County Council,MR. CATHAL FRANCIS BOYLE,info@colaistechoilmswords.ie,018401420,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,423,423
2023,60390F,St Josephs C.B.S.,Merville Ave,Fairview,Dublin 3,,D03H524,53.363903,-6.233668,Drumcondra_Marino_Dublin1,Dublin,Dublin City Council,MR. SEAN STACK,info@stjosephsfairview.ie,018339779,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,15,237,252
2023,60400F,St Vincents C.B.S. Glasnevin,Finglas Road,Glasnevin,Dublin 11,,D11XV05,53.368259,-6.27498,Cabra_Phibsboro_D7,Dublin,Dublin City Council,MS. MAIRE QUINN,mq@stvincentsd11.ie,018304375,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,412,412
2023,60410I,C.B.S. James Street,James's Street,Dublin 8,,,D08K338,53.340364,-6.289444,Dublin_8,Dublin,Dublin City Council,MS. PAULINE QUEALLY,jamesstcbs123@outlook.ie,014547756,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,78,129,207
2023,60420L,Árdscoil Rís,Griffith Avenue,Marino,Dublin 9,,D09AK30,53.369235,-6.228076,Beaumont_CoolockD5,Dublin,Dublin City Council,MR. JOHN MC HUGH,admin@ardscoilris.com,018332633,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,552,552
2023,60430O,St Pauls C.B.S.,St. Paul's CBS Secondary School,Nth. Brunswick Street,Dublin 7,,D07VF57,53.350591,-6.275708,Cabra_Phibsboro_D7,Dublin,Dublin City Council,MR. PATRICK MCCORMACK,principal@thebrunner.ie,018720781,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,220,220
2023,60440R,O'Connell School,Richmond Street North,Dublin 1,,,D01Y4A9,53.35825,-6.250797,Drumcondra_Marino_Dublin1,Dublin,Dublin City Council,MR. LIAM NEWELL,secretary@oconnellschool.ie,018748307,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,0,213,213
2023,60450U,Coláiste Mhuire,Bothar Rath Tó,Cabrach,Baile Átha Cliath 7,,D07CY97,53.36603,-6.302419,Cabra_Phibsboro_D7,Dublin,Dublin City Council,MR. OISIN MAC EOIN,runai@colaistemhuire.ie,018688996,CATHOLIC,Edmund Rice Schools Trust,Secondary,All pupils taught all subjects through Irish,Mixed,Day,N,N,N,Y,139,123,262
2023,60470D,"Christian Brothers, Synge St.",Synge Street CBS Secondary School,Synge Street,Dublin 8,Dublin,D08R283,53.33349,-6.268224,Dublin_8,Dublin,Dublin City Council,MS. CLARE CATTERSON,office@syngestreet.com,014783998,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,302,302
2023,60471F,St. David's College,Artane,Dublin 5,,,D05W667,53.381031,-6.217644,Beaumont_CoolockD5,Dublin,Dublin City Council,MR. MICHAEL NALLY,office@stdavidscbs.ie,018315322,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,0,466,466
2023,60480G,Meanscoil Iognáid Rís,Long Mile Road,Walkinstown,Dublin 12,D12K682,D12K682,53.324211,-6.333725,Dolphin's Barn_D12,Dublin,Dublin City Council,MR. JOHN J DEVILLY,info@drimnaghcastle.ie,014518316,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,519,519
2023,60481I,St. Aidan's C.B.S.,Collins Avenue Ext,Whitehall,Dublin 9,,D09XT54,53.384351,-6.252129,Whitehall_SantryD9,Dublin,Dublin City Council,MR. LIAM REILLY,secretary@staidanscbs.ie,018377587,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,722,722
2023,60490J,C.B.S. Westland Row,Westland Row,Dublin 2,,,D02YX80,53.3428,-6.249075,Dublin2_Dublin4,Dublin,Dublin City Council,MS. KATE BYRNE,info@cbswestlandrow.ie,016614143,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,113,87,200
2023,60491L,St Declan's College,Nephin Road,Cabra,Dublin 7,,D07NN63,53.366838,-6.303069,Cabra_Phibsboro_D7,Dublin,Dublin City Council,MR. BRIAN AVERY,info@stdeclanscollege.ie,018380357,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,663,663
2023,60500J,Marian College,Ballsbridge,Dublin 4,,,D04W268,53.333138,-6.226792,Dublin2_Dublin4,Dublin,Dublin City Council,MISS OONAGH CELINE MC CAUL,omccaul@mariancollege.ie,016684036,CATHOLIC,Marist Brothers (Province of West Central Europe),Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,1,296,297
2023,60511O,Beneavin De La Salle College,Beneavin Road,Finglas,Dublin,,D11NH7E,53.389221,-6.286613,FinglasEast_BallymunD11,Dublin,Dublin City Council,MS. ANN MARIE LEONARD,principal@beneavin.com,018341410,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,585,585
2023,60520P,Belvedere College S.J,6 Great Denmark Street,Dublin 1,,,D01TK25,53.35551,-6.262121,Drumcondra_Marino_Dublin1,Dublin,Dublin City Council,MR. GERRY FOLEY,dreddy@belvederecollege.ie,018586600,CATHOLIC,Society of Jesus (Jesuits),Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,999,999
2023,60530S,Gonzaga College,Sandford Road,Ranelagh,Dublin,,D06KF95,53.316816,-6.249403,Dublin6_Clonskeagh,Dublin,Dublin City Council,MR. DAMON MCCAUL,headmaster@gonzaga.ie,014972931,CATHOLIC,Society of Jesus (Jesuits),Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,572,572
2023,60540V,Catholic University School,89 Lower Leeson Street,Dublin 2,,,D02KC81,53.335297,-6.255882,Dublin2_Dublin4,Dublin,Dublin City Council,MR. CLIVE G MARTIN,office@cus.ie,017756800,CATHOLIC,Marist Education Authority ,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,548,548
2023,60550B,Chanel College,Coolock Village,Malahide Road,Dublin 5,,D05EY86,53.388016,-6.203976,Beaumont_CoolockD5,Dublin,Dublin City Council,MR. DARA GILL,chaneloffice@chanelcollege.ie,018480655,CATHOLIC,Marist Education Authority ,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,489,489
2023,60560E,"St. Mary's College C.S.Sp., Rathmines",73-79 Lower Rathmines Road,Dublin 6,,,D06CH79,53.327414,-6.266698,Dublin6_Clonskeagh,Dublin,Dublin City Council,MR. DENIS MURPHY,denismurphy@stmarys.ie,014995700,CATHOLIC,The Spiritan Education Trust ,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,492,492
2023,60561G,St Michaels College,Ailesbury Road,Dublin 4,,,D04NC59,53.319306,-6.217416,Dublin2_Dublin4,Dublin,South Dublin County Council,MR. T M KELLEHER,edel@stmc.ie,012189400,CATHOLIC,The Spiritan Education Trust ,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,707,707
2023,60562I,Templeogue College,Templeville Road,Dublin 6W,,,D6WE622,53.304164,-6.311988,Dublin_6w,Dublin,South Dublin County Council,MS. NIAMH QUINN,info@templeoguecollege.ie,014905788,CATHOLIC,The Spiritan Education Trust ,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,0,675,675
2023,60570H,Terenure College,Templeogue Road,Terenure,Dublin 6w,,D6WDK72,53.30425,-6.297376,Dublin_6w,Dublin,Dublin City Council,MR. PHILIP WALLACE,admin@terenurecollege.ie,014997000,CATHOLIC,Carmelite Order (Irish Province) ,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,0,790,790
2023,60581M,St Kevins College,Ballygall Rd. East,Ballygall,Dublin 11,,D11VF10,53.38545,-6.277384,Whitehall_SantryD9,Dublin,Dublin City Council,Sarah Barry,info@stkevinscollege.com,018371423,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,0,516,516
2023,60590N,St Conleths College,28 Clyde Road,Ballsbridge,Dublin 4,,D04FT98,53.327963,-6.240353,Dublin2_Dublin4,Dublin,Dublin City Council,MR. DONAL E O DULAING,admin@stconleths.ie,016680022,CATHOLIC,St Conleth's Ltd,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,106,215,321
2023,60630W,St Kilian's Deutsche Schule,Roebuck Road,Clonskeagh,Dublin 14,,D14P7F2,53.303796,-6.229184,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. NIGEL MAC MILLAN,nigel.macmillan@kilians.com,012883323,INTER DENOMINATIONAL,Der Deutsche Schulverein ,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,209,261,470
2023,60640C,Sandford Park School Ltd,Sandford Road,Ranelagh,Dublin 6,,D06FN29,53.321874,-6.250483,Dublin6_Clonskeagh,Dublin,Dublin City Council,MISS EDITH ANN MARIE BYRNE,ebyrne@sandfordparkschool.ie,014971417,INTER DENOMINATIONAL,Board of Governors of Sandford Park School,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,177,265,442
2023,60650F,St Andrews College,Booterstown Ave,Blackrock,Co Dublin,,A94XN72,53.305607,-6.201601,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MISS LOUISE MARSHALL,information@st-andrews.ie,012882785,PRESBYTERIAN,Board of Governors of St Andrew's College,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,518,499,"1,017"
2023,60660I,St Patricks Cathedral Grammar School,St Patricks Close,Dublin 8,,,D08WK19,53.338982,-6.271589,Dublin_8,Dublin,Dublin City Council,MR. TIMOTHY GILL,principal@spcgs.ie,014543388,CHURCH OF IRELAND,Board of Governors of St Patrick's Cathedral Grammar School,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,150,151,301
2023,60670L,The High School,Danum,Zion Road,Rathgar,Dublin,D06YR68,53.305787,-6.273284,Dublin6_Clonskeagh,Dublin,Dublin City Council,MR. ANDREW FORREST,office@highschool.ie,014922611,CHURCH OF IRELAND,Board of Governors of the High School,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,355,454,809
2023,60690R,Dominican College,"204, Griffith Ave",Drumcondra,Dublin 9,,D09A5X0,53.374338,-6.249275,Drumcondra_Marino_Dublin1,Dublin,Dublin City Council,MS. MARGUERITE O HORA,admin@dominican-college.com,018376080,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,769,0,769
2023,60700R,Scoil Chaitriona,Bóthar Mobhí,Glasnaíon,Ath Cliath 9,,D09TW99,53.374617,-6.262311,Drumcondra_Marino_Dublin1,Dublin,Dublin City Council,MS. FIONA NÍ CHATHÁIN,oifig@scoilchaitriona.ie,018370762,CATHOLIC,Le Chéile Schools Trust ,Secondary,All pupils taught all subjects through Irish,Mixed,Day,N,N,N,Y,272,236,508
2023,60710U,Muckross Park College,Donnybrook,Dublin 4,,,D04CF59,53.321665,-6.242546,Dublin6_Clonskeagh,Dublin,Dublin City Council,MISS ANNE MARIE MEE,ammee@muckrossparkcollege.com,014914033,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,709,0,709
2023,60731F,St Dominics College,Cabra,Dublin 7,,,D07NX47,53.371362,-6.307158,Cabra_Phibsboro_D7,Dublin,Dublin City Council,MISS ANN.B. CAMERON,info@stdominics.ie,018385282,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,787,0,787
2023,60741I,St Michaels Secondary School,Wellmount Road,Finglas,Dublin 11,,D11H521,53.387198,-6.301623,Scribblestown_FinglasWest,Dublin,Dublin City Council,MS. MARIE DOYLE,stmichaelshf11@gmail.com,018341767,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,623,0,623
2023,60750J,Holy Faith Secondary School,1 Belgrove Road,Clontarf,Dublin 3,,D03R528,53.360182,-6.1975,Killester_Raheny_Clontarf,Dublin,Dublin City Council,MISS DEIRDRE GOGARTY,admin@holyfaithclontarf.com,018331507,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,656,0,656
