Total Enrolment in Special Schools for the 2023/2024 school year (enrolment is as of 30th September 2023),,,,,,,,,,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,School Planning Area,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Patron,Female,Male,Total
2023,18483W,School of the Divine Child (Scoil an Linbh Íosa),"Lavanagh Centre,",Ballintemple,Cork,,Cork,T12NT26,51.896615,-8.433668,Ballintemple_CorkCity,schoolofdivinechild@gmail.com,0214291804,Fiona Thomas,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,25,21,46
2023,18499O,ST AUGUSTINES SCHOOL,Obelisk Park,Carysfort Avenue,Blackrock,Co. Dublin,Dublin,A94X8K7,53.288354,-6.181884,Dunlaoghaire,staugustines@sjog.ie,012881771,David O'Brien,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,64,88,152
2023,18534N,NAOMH MHUIRE,South Hill,Delvin,Co. Westmeath,,Westmeath,N91RK80,53.610875,-7.070984,Athboy,secretary@stmarysschoolwestmeath.com,0449664792,Anne-Marie Connolly,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,10,24,34
2023,18569J,ST DECLANS SPECIAL SCH,35 NORTHUMBERLAND ROAD,BALLSBRIDGE,DUBLIN 4,,Dublin,D04FD21,53.335271,-6.237929,Dublin2_Dublin4,office@stdeclans.ie,016678141,Sarah Lafferty,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,9,28,37
2023,18586J,SCOIL EANNA,MONTENOTTE,CORK,,,Cork,T23Y439,51.905811,-8.441813,Montenotte_CorkCity,principal@scoileannans.ie,0214506583,Elaine Angland,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,28,47,75
2023,18671A,ST MICHAELS HSE SPEC SC,St. Michael's House,Grosvenor School,Leopardstown Road,Dublin 18,Dublin,D18KR80,53.269817,-6.207178,Sallynoggin_Killiney_DLR,info@stmichaelsgrosvenor.com,012950534,John Fitzpatrick,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,St Michael's House,20,48,68
2023,18692I,CATHERINE MC AULEY SP S,ASHBOURNE AVE,SOUTH CIRCULAR ROAD,LIMERICK,,Limerick,V94AW98,52.652081,-8.644942,Limerick City,office@cmcauley.ie,061228281,Edmund Browne,Limerick City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,103,168,271
2023,18763F,ST MICHAELS HSE SPEC SC,Ballymun Road,Dublin 9,,,Dublin,D09R297,53.379961,-6.266751,Whitehall_SantryD9,ballymun.sns@smh.ie,018840326,Caroline Sheill,Dublin City Council,N,No subjects through Irish,N,N,Catholic,St Michael's House,18,35,53
2023,18772G,ST BRIGHIDS SPECIAL SCH,Ard Easmuinn,Dundalk,Co. Louth,,Louth,A91YP20,54.006053,-6.417707,Dundalk,info@stbrigids.net,0429335238,Eddie Martin,Louth County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,34,59,93
2023,18788V,Solas Hospital School,CRUMLIN,DUBLIN 12,,,Dublin,D12V004,53.326037,-6.318609,Dolphin's Barn_D12,info@olhs.ie,014096414,MR FERGAL MCNAMARA,Dublin City Council,N,No subjects through Irish,N,N,Multi Denominational,City of Dublin ETB,52,34,86
2023,18815V,OUR LADY OF LOURDES SCHOOL,Rochestown Avenue,Dun Laoghaire,Co. Dublin,,Dublin,A96XF34,53.275275,-6.152547,Sallynoggin_Killiney_DLR,nrh.school@nrh.ie,012847239,Aoife Mac Giolla Ri,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Multi Denominational,Dublin & Dún Laoghaire ETB,4,4,8
2023,18863J,BENINCASA SPECIAL SCHOOL,1 MOUNT MERRION AVE,BLACKROCK,CO DUBLIN,,Dublin,A94X864,53.302223,-6.184109,Booterstown_Blackrock,info@benincasa.ie,012887066,DIARMUID DELANEY,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,3,35,38
2023,18904U,ST PETERS SPECIAL SCH,St Peters School,59 Orwell Road,Rathgar,Dublin 6,Dublin,D06X594,53.310867,-6.26914,Dublin6_Clonskeagh,principal@stpeterssch.ie,012234840,Ms Rosemary Fahy (Acting),Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,7,53,60
2023,18936K,ST ITAS SPECIAL SCHOOL,Crushrod Avenue,Drogheda,Co. Louth,,Louth,A92V022,53.722053,-6.347947,Drogheda,mmoley@stitasspecialschool.ie,0419831303,Michael Moley,Louth County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,64,113,177
2023,18988G,ST RAPHAELS SPECIAL SCH,CLANE ROAD,CELBRIDGE,,,Kildare,W23F2P5,53.337695,-6.545651,Celbridge,info@straphaelsschool.ie,019121250,KATHLEEN WALDRON,Kildare County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,31,65,96
2023,19032R,STEWARTS SCHOOL,Rosse Court Ave,Lucan,,LUCAN,Dublin,K78K8W7,53.342607,-6.418527,Lucan,school@stewartscare.ie,012119121,Mary Carrig,South Dublin County Council,N,No subjects through Irish,N,N,Multi Denominational,Stewarts Care Ltd,41,95,136
2023,19039I,St Vincents Home NS,Saint Vincent's Centre,Navan Road,Dublin 7,,Dublin,D07N229,53.369812,-6.326162,Cabra_Phibsboro_D7,principal@stvincentsspecialschool.ie,018245491,Cathy Cawley,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,25,44,69
2023,19047H,ST JOSEPHS SPECIAL SCH,Moyola Lane,Thomas Hynes Road,Newcastle,,Galway,H91K095,53.283392,-9.071786,Galway City,theoffice@stjosephspns.ie,091521895,Sarah McGinley,Galway City Council,N,No subjects through Irish,N,N,Multi Denominational,Ability West,21,60,81
2023,19108B,ST MARTINS SPECIAL SCH,St. John's Villas,Lower Grange,Waterford,,Waterford,X91WPC0,52.245089,-7.106467,Waterford,office@stmartinssps.ie,051876741,Richard Ryan,Waterford City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,31,65,96
2023,19151C,ST JOHN OF GOD SP SCH,Islandbridge,Dublin 8,,,Dublin,D08P89W,53.343916,-6.310551,Dublin_8,info@stjohnofgodschool.com,012150263,Marie Ryan,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,27,61,88
2023,19200M,ST VINCENTS SP SCHOOL,Lisnagry,Co. Limerick,,,Limerick,V94TK25,52.668414,-8.524257,Limerick City,reception@stvincentslisnagry.com,061501403,Bridann O'Callaghan,Limerick County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,20,80,100
2023,19201O,Lakeview School,RENMORE,GALWAY,,,Galway,H91YF88,53.279607,-9.028495,Galway City,principal@lakeviewschools.ie,091779979,Padraic Hughes,Galway City Council,N,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",21,43,64
2023,19203S,St Paul's School,Beech Hill,Montenotte,Cork,,Cork,T23P529,51.90562,-8.44008,Montenotte_CorkCity,principal@stpss.ie,0214551318,Anne Hartnett,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,43,52,95
2023,19206B,St. Cecilia's School,Cregg,Sligo,,,Sligo,F91X283,54.304752,-8.514206,Sligo,stcecilias@stceciliasschool.ie,0719177907,Eilis Dillon,Sligo County Council,N,No subjects through Irish,N,N,Catholic,Daughters of Wisdom,27,48,75
2023,19207D,The Adelaide and Meath Hospital,INCORPORATING THE NATIONAL,CHILDRENS HOSPITAL SPECIAL SCHOOL,TALLAGHT,DUBLIN 24,Dublin,D24KNE0,53.291698,-6.378737,Tallaght,nchschool@eircom.net,014142169,Aislinn Wilkins,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin & Bishop of Glendalouogh,9,2,11
2023,19210P,MOTHER OF FAIR LOVE SPEC SCHOOL,James's Street,Kilkenny,,,Kilkenny,R95TC53,52.65214,-7.256272,Kilkenny,office@motheroffairlove.ie,0567721352,Mary Cody,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Ossory,33,37,70
2023,19214A,ST MARYS SPECIAL SCH,Drumcar,Co. Louth,,,Louth,A92Y627,53.863387,-6.376493,Dunleer,kevintoale@hotmail.com,0416839045,Kevin Toale,Louth County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,24,56,80
2023,19216E,ST ULTANS SPECIAL SCH,Flower Hill,Navan,Co. Meath,,Meath,C15HX60,53.658255,-6.680237,Navan,principalstultans1@gmail.com,0469021831,Jean Cunningham,Meath County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Meath ,55,68,123
2023,19230V,CORMAIC SPECIAL SCHOOL,Monastery House,Golden Road,Cashel,Co. Tipperary,Tipperary,E25YW63,52.516359,-7.892983,Cashel,office@scoilchormaic.ie,06261338,Lorraine Lowry,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,Tipperary Association for Special Needs Ltd,68,151,219
2023,19233E,ST CLARES SPECIAL SCH,Gort Road,Ennis,,,Clare,V95YP83,52.857044,-8.978622,Ennis,info@stclaresschool.ie,0656821899,EDMOND SCANNELL,Clare County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,25,81,106
2023,19240B,ST PATRICKS SPEC SCHOOL,Drumgoold,Enniscorthy,Co. Wexford,,Wexford,Y21Y9W0,52.49904,-6.547586,Enniscorthy,office@stpatricksschool.ie,0539239150,Leigh Rogers,Wexford County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns ,48,114,162
2023,19244J,ST JOSEPHS SPECIAL SCH,PARNELL STREET,WATERFORD,,,Waterford,X91E030,52.258423,-7.110182,Waterford,office@stjosephsspecialschool.ie,051876530,Esther Moore,Waterford City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,37,69,106
2023,19248R,ST ANTHONYS SPECIAL SC,Humbert Way,Castlebar,Co. Mayo,,Mayo,F23W704,53.847267,-9.307043,Castlebar,office@stanthonysmayo.ie,0949022661,Anna Sweeney Acting Principal,Mayo County Council,N,No subjects through Irish,N,N,Catholic,Western Care Association,27,38,65
2023,19261J,ST HILDAS SP SCH,GRACE PARK ROAD,ATHLONE,CO WESTMEATH,,Westmeath,N37YR62,53.425222,-7.930424,Athlone,principal@sthildas-specialschool.ie,0906475825,Pia Hughes,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,St Hilda's Services,12,39,51
2023,19266T,OUR LADY OF FATIMA SP S,CARRIGEEN STREET,WEXFORD,,,Wexford,Y35HF83,52.334603,-6.464274,Wexford,info@ladyoffatimaschool.ie,0539123376,Glenda McKeown,Wexford County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Ferns ,45,73,118
2023,19277B,ST ANNES SPECIAL SCHOOL,Ballymany Cross,The Curragh,Co. Kildare,,Kildare,R56VH67,53.159584,-6.819436,Curragh,principal@stannesthecurragh.ie,045441494,Adeline Wall,Kildare County Council,N,No subjects through Irish,N,N,Catholic,"KARE, Promoting Inclusion for People with Intellectual Disabilities",25,50,75
2023,19282R,ST JOHNS SPECIAL SCH,Youghal Road,Dungarvan,Co. Waterford,,Waterford,X35RR25,52.087075,-7.626576,Dungarvan,stjohnsspecialschooldungarvan@gmail.com,05841860,Aoife O'Neill,Waterford County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Waterford & Lismore,25,49,74
2023,19315G,ST LASERIANS SPECIAL SC,Dublin Road,Carlow,,,Carlow,R93N704,52.843679,-6.923739,Carlow,info@stlaserians.ie,0599142601,Rachel Dolan,Carlow County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,46,91,137
2023,19316I,ST PAULS HOSPITAL SPECIAL SCHOOL,Coolgreena Road,Beaumont,Dublin 9,,Dublin,D09VY30,53.390257,-6.231302,Beaumont_CoolockD5,info@stpaulsspecialschool.ie,018369630,Adrian Harkin,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,11,43,54
2023,19325J,ST CIARANS SPEC SCH,ST CANICES RD,GLASNEVIN,DUBLIN 11,,Dublin,D11VK64,53.383565,-6.273367,Whitehall_SantryD9,admin@scoilchiarain.ie,018370622,KATHLEEN DODD,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,48,95,143
2023,19337Q,ST FRANCIS S S,Borris Road,Portlaoise,Co Laois,,Laois,R32DN24,53.038749,-7.291646,Portlaoise,office@stfrancisschool.ie,0578621847,JOHN MORAN,Laois County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,33,84,117
2023,19340F,ST JOSEPHS SPECIAL SCH,BALLYTIVAN,SLIGO,,,Sligo,F91VY22,54.282019,-8.468839,Sligo,stjosephsspsligo@gmail.com,0719142453,CARMEL WYNNE,Sligo County Council,N,No subjects through Irish,N,N,Catholic,North West Parents and Friends Association for persons with intellectual disability,18,31,49
2023,19355S,BALLYOWEN MEADOWS,Loughlinstown Drive,Dun Laoghaire,,Co. Dublin,Dublin,A96H735,53.248759,-6.13037,Ballybrack_Shankill_DLR,principal@bmss.ie,012393010,Thigam Padayachee,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,Health Service Executive,9,45,54
2023,19361N,AN TAONAD REAMHSCOILE,SRAID RUTHLAND,BAILE ATHA CLIATH 1,,,Dublin,D01VX01,53.354978,-6.252499,Drumcondra_Marino_Dublin1,rutlandpreschool@eircom.net,018555146,Mark Shinnick,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,40,56,96
2023,19370O,ST ANNES SPECIAL SCH,Sean Ross Abbey,Roscrea,Co. Tipperary,,Tipperary,E53YC04,52.95026,-7.775304,Roscrea,a.comerford@stannesroscrea.ie,050521002,Ms Anne Comerford,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,10,38,48
2023,19373U,ST MICHAELS HSE SP SCH,Raheny Road,Raheny,Dublin 5,,Dublin,D05FN34,53.386248,-6.17391,Killester_Raheny_Clontarf,rahenyschool@smh.ie,018511600,Rachel McGrath,Dublin City Council,N,No subjects through Irish,N,N,Catholic,St Michael's House,16,36,52
2023,19375B,ST BRIDS SPECIAL SCH,Pavilion Road,Castlebar,Co. Mayo,,Mayo,F23NX99,53.851763,-9.29743,Castlebar,office@stbrids.ie,0949022650,Thomas Jones,Mayo County Council,N,No subjects through Irish,N,N,Catholic,Western Care Association,9,26,35
2023,19376D,ST ITAS & ST JOSEPHS NS,ST ITAS/ST JOSEPHS N S,BALLOONAGH,TRALEE,CO KERRY,Kerry,V92F685,52.272975,-9.714184,Tralee,office@sisj.ie,0667125237,GRACE SHEEHAN,Kerry County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,53,83,136
2023,19382V,SCOIL EOIN,Armagh Road,Crumlin,Dublin 12,,Dublin,D12PX38,53.32009,-6.30691,Dolphin's Barn_D12,scoilcolaisteeoin@gmail.com,014554380,Debbie O'Neill,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,55,78,133
2023,19383A,ST PATRICKS SPEC SCH,SISTERS OF CHARITY,KELLS ROAD,KILKENNY,,Kilkenny,R95KW26,52.63313,-7.260184,Kilkenny,principal@stpatrickskk.ie,0567722934,MRS JANE DOWLING,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Ossory,23,66,89
2023,19387I,ST DYMPNAS SPEC SCHOOL,Convent Hill,Ballina,,,Mayo,F26Y194,54.117561,-9.166615,Ballina,info@stdymphnas.ie,09621006,MAUREEN QUINN,Mayo County Council,N,No subjects through Irish,N,N,Catholic,Western Care Association,12,21,33
2023,19409P,CASA CATERINA S S,Rathoath Road,Cabra,Dublin 7,,Dublin,D07YY30,53.37211,-6.30828,Cabra_Phibsboro_D7,casacaterinass@gmail.com,018385326,Emma Kilcommins,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,5,26,31
2023,19410A,ST KILLIANS SPEC SCH,Old Youghal Road,Mayfield,Cork,,Cork,T23NV96,51.91465,-8.43175,Montenotte_CorkCity,principal@stkillianscork.com,0214505168,Sue Lenihan,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,28,61,89
2023,19414I,ST ANNES S S,Saint Senan's Road,Ennis,Co. Clare,,Clare,V95YY26,52.853859,-8.975535,Ennis,info@stanneennis.com,0656829072,Rose-Marie Flanagan,Clare County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Killaloe,40,102,142
2023,19429V,ST CHRISTOPHERS S S,BATTERY ROAD,LONGFORD,,,Longford,N39WN60,53.733281,-7.802673,Longford_Newtownforbes,stchristophersss@gmail.com,0433341073,SHEILA DINNEGAN,Longford County Council,N,No subjects through Irish,N,N,Catholic,St Christopher's Services Company limited by guarantee,8,32,40
2023,19433M,HOLY FAMILY S S,Bakers Road,Charleville,Co. Cork,,Cork,P56AH39,52.355991,-8.6754,Rath Luirc_Charleville,secretary@holyfamilyschoolcharleville.com,06381621,Margaret Looby,Cork County Council,N,No subjects through Irish,N,N,Catholic,St Joseph's Foundation ,34,53,87
2023,19439B,HOLY FAMILY S S,Cootehill,Co. Cavan,,,Cavan,H16NY32,54.0776,-7.09053,Cootehill,principal@hfsc.ie,0495552257,Rachel Moynagh,Cavan County Council,N,No subjects through Irish,N,N,Multi Denominational,Named Individual,47,134,181
2023,19455W,ST MARKS SPECIAL SCHOOL,PIERCETOWN,NEWBRIDGE,CO KILDARE,,Kildare,W12XY09,53.186847,-6.814121,Newbridge,office@stmarksnewbridge.com,045432466,Ross Dignam (Acting),Kildare County Council,N,No subjects through Irish,N,N,Multi Denominational,"KARE, Promoting Inclusion for People with Intellectual Disabilities",34,64,98
2023,19499T,ST OLIVER PLUNKETT SP SC,ALMA PLACE,CARRIGBREANNAN,BLACKROCK,CO DUBLIN,Dublin,A94H562,53.29262,-6.153979,Dunlaoghaire,office@stoliverplunkett.ie,012808824,Donna Coleman,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,23,40,63
2023,19500B,PHOENIX PARK SPECIALIST SCHOOL,Phoenix Park Specialist School,North Road,Phoenix Park,,Dublin,D08V098,53.368406,-6.327873,Cabra_Phibsboro_D7,thephoenixparkschool@gmail.com,018386699,Ms. Emma Stokes,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Health Service Executive,2,16,18
2023,19520H,ST JOSEPHS SPECIAL SCH,BALROTHERY,TALLAGHT,DUBLIN 24,,Dublin,D24ND34,53.295207,-6.34057,Tallaght,admin@sjss.ie,014515961,Graeme Crombie,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,20,67,87
2023,19522L,ST CATHERINES SPECIAL SCHOOL,Kilmullen Lane,Newcastle,Greystones,Co. Wicklow,Wicklow,A63X985,53.080792,-6.094266,Kilcoole,info@stcatherinesspecialschool.ie,012819525,Brigeeta Mulvihill,Wicklow County Council,N,No subjects through Irish,N,N,Catholic,St Catherine's Association,29,61,90
2023,19523N,School of the Holy Spirit Special School,Callan Road,Kilkenny,,,Kilkenny,R95DV56,52.637243,-7.266754,Kilkenny,office@holyspiritkilkenny.ie,0567752466,Annmarie Butler,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Ossory,25,58,83
2023,19547E,ST FRANCIS SPECIAL SCH,BEAUFORT,CO. KERRY,,,Kerry,V93TX36,52.078876,-9.703024,Killorglin_Milltown,info@sfss.ie,0646644452,Keith Ó Brolacháin,Kerry County Council,N,No subjects through Irish,N,N,Catholic,St John of God Hospitaller Order (Kerry Services),17,45,62
2023,19548G,NANO NAGLE N SCHOOL,NANO NAGLE SPECIAL NS,LISTOWEL,COUNTY KERRY,,Kerry,V31A096,52.448564,-9.496105,Listowel,nanonaglelistowel@gmail.com,06821942,Gabrielle Browne,Kerry County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Kerry,26,63,89
2023,19560T,ST MARYS SPECIAL SCHOOL,Johnstown,Navan,Co. Meath,,Meath,C15H735,53.634475,-6.645036,Navan,smspschoolnavan@gmail.com,0469023745,Maria Corredor,Meath County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,27,51,78
2023,19567K,SCOIL AINE,Merlin Park,Galway,,,Galway,H91NN20,53.274179,-8.998753,Galway City,principal@scoilainegalway.ie,091758766,Michelle O' Meara,Galway City Council,N,No subjects through Irish,N,N,Catholic,"Bishop of Galway, Kilmacduagh & Kilfenora",9,6,15
2023,19587Q,ST AUGUSTINES SPEC SCH,Sexton Street,Limerick,,,Limerick,V94X339,52.660475,-8.623658,Limerick City,info@staugustinesyep.com,061311137,Maeve Lynch,Limerick City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,5,18,23
2023,19590F,Scoil Mochua,Old Nangor Road,Deansrath,Clondalkin,Dublin 22,Dublin,D22KF84,53.319572,-6.423455,Clondalkin_D22,scasey@crc.ie,018542594,Sophia Casey,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,Central Remedial Clinic ,30,43,73
2023,19592J,ST BERNADETTE SPEC SCH,College Farm Road,Letterkenny,Co. Donegal,,Donegal,F92N289,54.955337,-7.749008,Letterkenny,PRINCIPAL@STBERNADETTESSCHOOL.EU,0749122512,John Haran,Donegal County Council,N,No subjects through Irish,N,N,Catholic,Bishop of Raphoe,43,70,113
2023,19594N,YOUTH ENCOUNTER PROJECT,Deanstown Avenue,Finglas West,Dublin 11,,Dublin,D11HN88,53.384096,-6.318008,Scribblestown_FinglasWest,davidcarterprincipal@gmail.com,018642231,David Carter,Dublin City Council,N,No subjects through Irish,N,N,Catholic, Crosscare,,18,18
2023,19603L,ST GABRIELS SCHOOL,Crabtree House,Springfield Drive,Dooradoyle,Limerick,Limerick,V94PY90,52.637511,-8.650961,Limerick City,info@stgabrielsschool.ie,061302733,Derek Cox,Limerick City Council,N,No subjects through Irish,N,N,Multi Denominational,St Gabriel's School and Centre,28,36,64
2023,19615S,SCOIL AONGHUSA,Cahir Road,Cashel,Co. Tipperary,,Tipperary,E25HY45,52.5076,-7.891769,Cashel,Siobhan@scoilaonghusa.ie,06262644,Siobhán Keyes Ryan,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,Tipperary Association for Special Needs Ltd,34,116,150
2023,19630O,Linn Dara Schools,Linn Dara CAMHS Approved Centre,Cherry Orchard Hospital Campus,Ballyfermot,Dublin 10,Dublin,D10XR23,53.344477,-6.378766,Ballyfermot_D10,info@linndaraschools.ie,017956525,Matthew Swain,South Dublin County Council,N,No subjects through Irish,N,N,Multi Denominational,Health Service Executive,31,11,42
2023,19687U,Coláiste Shliabh na mBan,Ferryhouse,Clonmel,Co. Tipperary,,Tipperary,E91RF38,52.359053,-7.651922,Clonmel,jjohnston@tipperaryetb.ie,0526183067,Paula O'Halloran,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,Tipperary ETB,,15,15
2023,19705T,CATHERINE MC AULEY N SC,59 Baggot Street Lower,Dublin 2,,,Dublin,D02C625,53.336205,-6.246263,Dublin2_Dublin4,info@catherinemcauleyns.ie,016615645,Neasa Sheahan,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,42,57,99
2023,19719H,MID WEST SCHOOL FOR THE DEAF,Childer's Road,Rossbrien,Limerick,,Limerick,V94E9N2,52.647465,-8.631556,Limerick City,midwestdeafschool@gmail.com,061227722,Maria Allen,Limerick City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Limerick,19,24,43
2023,19724A,LITTLE ANGELS SPEC SCH,Knocknamona,Letterkenny,Co. Donegal,,Donegal,F92PK60,54.963177,-7.729751,Letterkenny,office@littleangelsschool.net,0749122456,Ailbhe Dunne,Donegal County Council,N,No subjects through Irish,N,N,Catholic,Little Angels Association Letterkenny,38,95,133
